id,titulo,url_pdf,caminho_local,status_download
1061,BUROSUMABE / RAQUITISMO HIPOFOSFATÊMICO LIGADO AO X,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1061.pdf,output/df_tjdft/pdfs/1061.pdf,sucesso
1062,VÍDEO ELETROENCEFALOGRAMA/EPILEPSIA FOCAL,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1062.pdf,output/df_tjdft/pdfs/1062.pdf,sucesso
1063,ADESIVOS (CONDENSADOR DE CALOR E UMIDADE) E FILTROS HME /  TRAQUEOSTOMIA DEFINITIVA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1063.pdf,output/df_tjdft/pdfs/1063.pdf,sucesso
1064,BORTEZOMIBE / MIELOMA MÚLTIPLO,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1064.pdf,output/df_tjdft/pdfs/1064.pdf,sucesso
1065,CANABIDIOL / MONONEURITE MULTIPLA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1065.pdf,output/df_tjdft/pdfs/1065.pdf,sucesso
1066,ALFAVELMANASE (LAMZEDE® ) / ALFA MANOSIDOSE,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1066.pdf,output/df_tjdft/pdfs/1066.pdf,sucesso
1067,BORTEZOMIBE / MIELOMA MÚLTIPLO,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1067.pdf,output/df_tjdft/pdfs/1067.pdf,sucesso
1068,Mieloma Múltiplo - Bortezomibe,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1068.pdf,output/df_tjdft/pdfs/1068.pdf,sucesso
1069,BRENTUXIMABE VEDOTINA / LINFOMA DE  HODGKIN REFRATÁRIO À QUIMIOTERAPIA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1069.pdf,output/df_tjdft/pdfs/1069.pdf,sucesso
1070,OMALIZUMABE / URTICÁRIA CRÔNICA  ESPONTÂNEA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1070.pdf,output/df_tjdft/pdfs/1070.pdf,sucesso
1071,NIRAPARIBE / CÂNCER DE OVÁRIO METASTÁTICO,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1071.pdf,output/df_tjdft/pdfs/1071.pdf,sucesso
1072,CANABIDIOL/ FIBROMIALGIA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1072.pdf,output/df_tjdft/pdfs/1072.pdf,sucesso
1073,Mieloma Múltiplo - Bortezomibe,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1073.pdf,output/df_tjdft/pdfs/1073.pdf,sucesso
1074,INTERNAÇÃO / ESQUIZOFRENIA PARANÓIDE E SÍNDROME DE DEPENDÊNCIA DE DROGAS,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1074.pdf,output/df_tjdft/pdfs/1074.pdf,sucesso
